City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
601,Waycross,US,79.05,broken clouds,31.2136,-82.354,Super 8 by Wyndham Waycross GA
604,Gizo Government Station,SB,84.38,broken clouds,-8.103,156.8419,Imagination Island
607,Bodden Town,KY,81.93,scattered clouds,19.2833,-81.25,Will T Place
608,Tabou,CI,75.97,overcast clouds,4.423,-7.3528,hotêl doufoulougou
613,Tighina,MD,83.17,scattered clouds,46.8306,29.4711,Солнце
614,Fortuna Foothills,US,84.29,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
615,Chumikan,RU,75.54,clear sky,54.7183,135.315,Fortuna
616,Bac Lieu,VN,87.17,heavy intensity rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
617,Kavarna,BG,82.58,clear sky,43.4333,28.3333,Вила Алегра (Villa Allegra)
618,Shestakovo,RU,75.02,broken clouds,56.4915,103.96,
620,Novopokrovka,UA,78.62,few clouds,49.8425,36.5477,Пудж дом
621,Baruun-Urt,MN,76.53,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
627,Matara,LK,84.27,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
630,Santarém,BR,77.13,clear sky,-2.4431,-54.7083,Hotel Imperador
636,Merauke,ID,79.88,overcast clouds,-8.4667,140.3333,
638,Hirara,JP,88.07,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
640,San Rafael Del Sur,NI,77.43,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
641,Haysville,US,86.32,broken clouds,37.5645,-97.3523,HAYSVILLE EXPRESS INN
646,Honiara,SB,84.78,overcast clouds,-9.4333,159.95,Heritage Park Hotel
647,Snyder,US,83.32,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
652,Wajima,JP,88.48,few clouds,37.4,136.9,Wajiima Onsen Yashio
654,Bay Saint Louis,US,76.01,broken clouds,30.3088,-89.33,The Abode Guest House
656,Bor,RU,76.93,broken clouds,56.3567,44.0669,Oktyabrskaya Hotel
658,Belyy Yar,RU,75.09,scattered clouds,53.6039,91.3903,Pasportnyy Stol
660,Kaneohe,US,78.39,few clouds,21.4181,-157.8036,Kahua Nui-Makai (Ho'omaluhia) Campsites
661,Surab,PK,82.58,few clouds,28.4914,66.2585,Bismillah Hotel
662,Niamey,NE,82.69,clear sky,13.5137,2.1098,Soluxe Hotel Niamey
665,‘Ewa Beach,US,78.75,clear sky,21.3156,-158.0072,Base Lodging
668,City Of San Pedro,PH,87.03,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
676,Kushima,JP,85.66,overcast clouds,31.4583,131.2333,Hanaoka
677,Alappuzha,IN,77.77,overcast clouds,9.49,76.3264,Panoramic Sea Resort
681,Koumac,NC,78.87,light rain,-20.5667,164.2833,Le Monitel
688,Mahina,PF,76.77,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
689,Puerto Cabezas,NI,77.94,overcast clouds,14.0351,-83.3888,Cabaña Caribe
694,Ouégoa,NC,77.05,light rain,-20.35,164.4333,
700,Kokopo,PG,84.58,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
701,Nioro,GM,77.92,overcast clouds,13.35,-15.75,
703,Ust'-Kulom,RU,77.72,broken clouds,61.6864,53.6902,Ip Napalkov Vasiliy Dmitriyevich
704,Delījān,IR,78.66,clear sky,33.9905,50.6838,ایزوگام آسیاگستر
706,Puteyets,RU,75.72,clear sky,65.1716,57.091,"Sot ""Agrarnik"""
709,Boa Vista,BR,76.98,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
